date,total_visits,total_bounces,bounce_per_visit
20170424,2263,1164,0.51436146707909858
20170425,2354,1197,0.50849617672047576
20170426,4224,2166,0.51278409090909094
20170427,2838,1474,0.51937984496124034
20170428,2411,1181,0.48983824139361259
20170429,1566,846,0.54022988505747127
20170430,1594,833,0.52258469259723961
20170501,2588,1239,0.47874806800618236
20170502,2564,1186,0.4625585023400936
20170503,2588,1298,0.50154559505409579
20170504,2806,1583,0.56414825374198152
20170505,1960,969,0.4943877551020408
20170506,1383,732,0.5292841648590022
20170507,1400,735,0.525
20170508,2025,908,0.44839506172839505
20170509,2108,996,0.47248576850094876
20170510,2024,932,0.46047430830039526
20170511,2218,1066,0.48061316501352569
20170512,1932,899,0.46532091097308487
20170513,1251,620,0.495603517186251
20170514,1290,588,0.45581395348837211
20170515,2360,1160,0.49152542372881358
20170516,3098,1643,0.53034215622982572
20170517,3117,1473,0.47256977863330124
20170518,2715,1194,0.43977900552486188
20170519,2223,927,0.41700404858299595
20170520,1855,838,0.45175202156334232
20170521,1645,711,0.43221884498480245
20170522,2248,939,0.41770462633451955
20170523,2129,941,0.44199154532644436
20170524,2406,1081,0.44929343308395675
20170525,2228,994,0.44614003590664275
20170526,2009,915,0.45545047287207568
20170527,1502,790,0.525965379494008
20170528,1463,776,0.530416951469583
20170529,1745,944,0.540974212034384
20170530,2199,1023,0.46521145975443384
20170531,2292,1105,0.48211169284467714
20170601,2826,1398,0.49469214437367304
20170602,2190,1056,0.48219178082191783
20170603,1399,731,0.52251608291636886
20170604,1534,757,0.49348109517601041
20170605,2493,1228,0.49257922182109909
20170606,2391,1103,0.46131325805102469
20170607,2279,1137,0.49890302764370337
20170608,2280,1106,0.48508771929824562
20170609,1927,877,0.45511157239231964
20170610,1545,795,0.5145631067961165
20170611,1555,757,0.48681672025723471
20170612,2361,1102,0.46675137653536636
20170613,2181,1000,0.4585052728106373
20170614,2517,1260,0.50059594755661507
20170615,2237,1164,0.52033974072418421
20170616,2028,1093,0.53895463510848129
20170617,1391,779,0.56002875629043858
20170618,1432,777,0.54259776536312854
20170619,2142,1071,0.5
20170620,2143,1065,0.49696686887540831
20170621,2357,1194,0.50657615613067464
20170622,2258,1150,0.50930026572187781
20170623,2095,1068,0.50978520286396178
20170624,1510,765,0.50662251655629142
20170625,1597,818,0.5122103944896681
20170626,2226,1101,0.49460916442048519
20170627,2789,1392,0.49910362136966657
20170628,2687,1362,0.50688500186081131
20170629,2709,1332,0.49169435215946844
20170630,2499,1265,0.506202480992397
20170701,2048,1190,0.5810546875
20170702,1895,1078,0.56886543535620049
20170703,2046,1142,0.55816226783968714
20170704,1938,1099,0.567079463364293
20170705,2885,1487,0.515424610051993
20170706,2658,1341,0.50451467268623029
20170707,2450,1200,0.48979591836734693
20170708,1859,997,0.53630984400215165
20170709,1921,1050,0.5465903175429464
20170710,2769,1424,0.51426507764535934
20170711,2635,1356,0.51461100569259965
20170712,2554,1290,0.50509005481597491
20170713,2741,1312,0.47865742429770158
20170714,2382,1149,0.482367758186398
20170715,1721,966,0.56130156885531668
20170716,1766,951,0.53850509626274068
20170717,2671,1281,0.47959565705728191
20170718,2804,1340,0.47788873038516405
20170719,2514,1231,0.48965791567223549
20170720,2668,1314,0.49250374812593706
20170721,2427,1158,0.47713226205191595
20170722,1724,917,0.53190255220417637
20170723,1966,1041,0.529501525940997
20170724,2436,1180,0.48440065681444994
20170725,2631,1235,0.46940326871911819
20170726,2725,1278,0.46899082568807338
20170727,2529,1199,0.47410043495452747
20170728,2433,1185,0.48705302096177561
20170729,1597,815,0.51033187226048837
20170730,1799,913,0.50750416898276818
20170731,2620,1289,0.49198473282442751
